grade confidence_level
Wrong 3.837890625
Wrong 4.46875
Wrong 4.49609375
Correct 5.6953125
Correct 3.83203125
Wrong 3.984375
Wrong 5.0390625
Wrong 4.06640625
Wrong 3.953125
Correct 4.27734375
Wrong 5.10546875
Abstained 3.83984375
Wrong 4.015625
Correct 4.39453125
Correct 4.359375
Wrong 3.923828125
Correct 3.859375
Wrong 2.669921875
Correct 3.9140625
Correct 2.89453125
Correct 5.1875
Wrong 4.23046875
Correct 3.265625
Wrong 3.783203125
Correct 3.14453125
Wrong 4.84375
Wrong 4.37109375
Correct 2.853515625
Wrong 5.49609375
Correct 4.2578125
Wrong 3.15625
Wrong 4.609375
Wrong 5.0
Wrong 4.77734375
Correct 3.310546875
Wrong 4.3125
Correct 3.939453125
Wrong 5.44921875
Correct 3.669921875
Wrong 4.15625
Correct 2.95703125
Wrong 3.646484375
Correct 3.115234375
Correct 4.44140625
Wrong 4.16796875
Abstained 3.048828125
Correct 3.708984375
Correct 5.3984375
Correct 4.515625
Correct 4.08984375
Wrong 5.4765625
Unparseable 0
Wrong 4.68359375
Correct 5.61328125
Correct 5.2109375
Wrong 6.11328125
Correct 4.4453125
Correct 4.29296875
Wrong 3.47265625
Correct 5.3203125
Abstained 5.078125
Correct 3.396484375
Correct 3.208984375
Correct 4.16015625
Correct 4.19921875
Wrong 4.26171875
Correct 4.8671875
Wrong 4.59765625
Wrong 3.23828125
Correct 4.44140625
Correct 4.515625
Correct 4.81640625
Abstained 4.05078125
Abstained 4.12109375
Abstained 2.833984375
Correct 3.724609375
Correct 4.53515625
Correct 3.84375
Unparseable 0
Unparseable 0
Wrong 5.32421875
Wrong 4.12890625
Correct 4.2734375
Wrong 2.814453125
Correct 4.67578125
Wrong 3.994140625
Wrong 4.1953125
Correct 3.880859375
Wrong 3.4140625
Wrong 4.5625
Wrong 5.57421875
Unparseable 0
Wrong 3.9765625
Correct 2.72265625
Wrong 3.59375
Correct 3.802734375
Correct 4.21484375
Correct 2.90625
Unparseable 0
Wrong 2.625
Wrong 4.44140625
Wrong 4.43359375
Correct 4.1953125
Wrong 3.232421875
Wrong 4.265625
Abstained 1.7509765625
