grade confidence_level
Wrong 3.876953125
Unparseable 0
Correct 3.603515625
Wrong 5.77734375
Correct 4.171875
Wrong 3.931640625
Wrong 4.8828125
Correct 4.62890625
Wrong 3.134765625
Wrong 4.00390625
Correct 3.791015625
Wrong 2.962890625
Wrong 3.83203125
Correct 3.46875
Correct 5.23828125
Wrong 3.326171875
Wrong 4.65625
Correct 5.19921875
Correct 4.2109375
Correct 5.3125
Correct 4.13671875
Wrong 4.609375
Wrong 5.296875
Wrong 5.51953125
Correct 5.73046875
Wrong 3.283203125
Wrong 4.0234375
Wrong 4.13671875
Wrong 5.2421875
Wrong 3.5546875
Correct 3.642578125
Correct 4.2421875
Correct 3.5859375
Correct 3.595703125
Wrong 4.04296875
Wrong 5.66796875
Wrong 4.8125
Wrong 5.11328125
Wrong 2.95703125
Correct 3.5625
Correct 4.6484375
Correct 4.35546875
Wrong 4.56640625
Wrong 5.56640625
Correct 3.796875
Correct 3.177734375
Wrong 3.3046875
Correct 4.75
Wrong 4.74609375
Wrong 3.447265625
Wrong 5.50390625
Wrong 3.11328125
Correct 2.857421875
Wrong 5.53125
Wrong 5.25
Correct 4.63671875
Wrong 4.328125
Wrong 5.01171875
Wrong 4.44140625
Correct 4.33203125
Correct 5.1484375
Correct 3.783203125
Wrong 4.28125
Correct 3.279296875
Correct 2.765625
Wrong 4.26953125
Wrong 2.427734375
Correct 4.4921875
Correct 3.759765625
Correct 4.4609375
Wrong 4.265625
Correct 5.546875
Wrong 3.330078125
Wrong 3.119140625
Correct 5.328125
Wrong 2.4453125
Correct 3.58984375
Unparseable 0
Unparseable 0
Wrong 2.869140625
Wrong 3.982421875
Correct 5.49609375
Wrong 3.263671875
Wrong 3.8359375
Correct 4.65234375
Unparseable 0
Correct 3.90625
Correct 4.484375
Correct 3.447265625
Wrong 4.2265625
Wrong 4.76953125
Correct 4.1328125
Correct 2.927734375
Wrong 4.66796875
Correct 6.4765625
Wrong 4.4765625
Wrong 3.548828125
Correct 3.703125
Wrong 4.26171875
Correct 3.6484375
Wrong 4.16796875
Wrong 4.4765625
Correct 3.20703125
Wrong 3.275390625
Correct 3.91796875
Correct 5.05859375
Wrong 4.34765625
Wrong 4.75390625
Correct 4.25390625
Wrong 5.453125
Correct 5.30078125
Wrong 3.98046875
Wrong 4.46484375
Wrong 3.892578125
Wrong 4.64453125
Correct 5.015625
Correct 4.8828125
Correct 4.7734375
Wrong 3.021484375
Wrong 2.755859375
Wrong 4.19140625
Correct 5.1015625
Wrong 3.06640625
Correct 3.943359375
Correct 2.859375
Correct 5.4375
Correct 5.62109375
Correct 6.14453125
Correct 4.08984375
Correct 4.7578125
Correct 4.50390625
