grade confidence_level
Correct 27.8125
Correct 25.5625
Correct 29.125
Wrong 26.296875
Wrong 20.90625
Correct 26.546875
Correct 25.8125
Correct 26.8125
Correct 29.890625
Correct 25.796875
Correct 27.921875
Wrong 27.234375
Correct 25.328125
Correct 21.078125
Correct 23.375
Correct 28.90625
Correct 25.609375
Abstained 25.734375
Correct 24.515625
Abstained 26.828125
Wrong 30.015625
Correct 27.9375
Correct 23.765625
Correct 27.03125
Abstained 20.953125
Correct 26.390625
Correct 23.59375
Wrong 29.0625
Correct 22.140625
Wrong 20.171875
Abstained 21.59375
Abstained 25.359375
Correct 29.15625
Correct 24.109375
Abstained 27.234375
Correct 27.875
Correct 26.078125
Correct 25.296875
Wrong 25.0
Correct 30.234375
Abstained 20.640625
Correct 25.78125
Correct 25.390625
Wrong 28.53125
Correct 23.84375
Correct 29.5625
Correct 20.359375
Correct 20.0625
Correct 23.46875
Wrong 30.546875
Correct 29.796875
Correct 22.078125
Correct 31.046875
Abstained 25.015625
Correct 25.578125
Correct 29.421875
Wrong 27.1875
Correct 23.515625
Correct 28.734375
Wrong 20.0
Correct 29.953125
Correct 26.953125
Wrong 29.4375
Wrong 24.734375
Abstained 23.125
Correct 30.125
Abstained 18.4375
Correct 25.859375
Correct 28.421875
Abstained 18.671875
Correct 25.5
Wrong 23.734375
Correct 28.703125
Correct 23.15625
Wrong 25.34375
Correct 24.84375
Correct 24.984375
Correct 21.671875
Correct 24.734375
Correct 25.75
Correct 30.453125
Correct 24.40625
Abstained 20.140625
Wrong 24.078125
Correct 27.03125
Correct 24.90625
Correct 25.28125
Correct 25.25
Correct 25.5
Correct 26.828125
Correct 26.5
Wrong 28.28125
Correct 27.0625
Wrong 28.015625
Correct 23.703125
Correct 25.15625
Correct 25.515625
Correct 26.578125
Wrong 18.46875
Correct 25.59375
Correct 27.84375
Abstained 19.640625
Correct 24.21875
Correct 30.890625
Correct 26.6875
Correct 24.390625
Abstained 22.796875
Correct 26.296875
Correct 29.328125
Correct 28.953125
Correct 24.671875
Correct 28.546875
Wrong 27.328125
Correct 19.046875
Correct 25.125
Correct 30.1875
Correct 24.015625
Correct 24.203125
Correct 27.6875
Correct 26.640625
Correct 29.859375
Correct 21.390625
Correct 22.609375
Abstained 26.859375
Abstained 21.40625
Correct 26.59375
Correct 25.375
Correct 28.671875
Correct 23.203125
Wrong 23.8125
Correct 20.578125
Correct 24.28125
Abstained 21.0
Wrong 21.484375
Correct 28.75
Correct 26.359375
Wrong 27.046875
Correct 22.96875
Correct 22.75
Correct 25.15625
Correct 25.734375
Correct 25.875
Correct 26.390625
Abstained 22.9375
Wrong 25.328125
Correct 30.984375
Correct 24.953125
Correct 22.3125
Correct 19.625
Correct 23.359375
Correct 28.234375
Wrong 22.921875
Wrong 23.0625
Wrong 20.03125
Wrong 22.8125
Abstained 21.859375
Abstained 25.40625
Correct 26.921875
Correct 23.4375
Correct 25.09375
Correct 28.859375
Correct 26.3125
Correct 23.3125
Correct 24.53125
Correct 21.265625
Wrong 26.15625
Abstained 24.171875
Abstained 21.734375
Correct 20.984375
Correct 25.78125
Correct 23.46875
Abstained 20.515625
Correct 23.703125
Correct 28.953125
Wrong 27.1875
Correct 23.3125
Wrong 26.28125
Wrong 22.921875
Wrong 26.84375
Correct 23.375
Wrong 25.953125
Correct 24.015625
Abstained 27.390625
Abstained 25.0625
Wrong 25.96875
Correct 22.0625
Abstained 27.234375
Wrong 20.890625
Correct 29.1875
Correct 28.203125
Correct 19.703125
Correct 25.640625
Correct 24.4375
Wrong 28.28125
Correct 27.671875
Correct 23.96875
Correct 29.421875
Correct 22.90625
Correct 25.671875
Correct 25.71875
Correct 29.625
Correct 29.9375
Correct 21.59375
Correct 25.46875
Correct 28.265625
Correct 29.46875
Correct 28.078125
Wrong 25.28125
Abstained 19.640625
Correct 25.5625
Correct 28.828125
Correct 25.5
Wrong 28.46875
Correct 25.09375
Wrong 29.09375
Correct 30.390625
Wrong 22.140625
Correct 24.25
Correct 28.6875
Correct 27.859375
Abstained 26.203125
Correct 23.921875
Abstained 23.859375
Correct 27.203125
Wrong 25.453125
Abstained 20.953125
Wrong 25.46875
Wrong 27.765625
Correct 22.15625
Abstained 23.21875
Correct 22.84375
Correct 24.65625
Wrong 23.625
Abstained 21.359375
Correct 29.859375
Correct 25.296875
Correct 27.75
Wrong 27.71875
Correct 28.140625
Correct 21.875
Correct 28.9375
Abstained 27.125
Correct 28.671875
Wrong 26.65625
Correct 23.5625
Wrong 25.921875
Correct 26.46875
Correct 24.8125
Wrong 28.0
Abstained 22.625
Correct 24.21875
Correct 29.390625
Correct 24.921875
Wrong 26.6875
Wrong 23.125
Correct 28.390625
Abstained 28.09375
Wrong 23.390625
Correct 22.171875
Correct 25.046875
Correct 23.078125
Wrong 25.578125
Correct 25.875
Correct 29.84375
Correct 24.765625
Abstained 26.796875
Correct 29.78125
Correct 29.6875
Correct 22.390625
Correct 25.640625
Correct 22.21875
Correct 25.4375
Correct 20.71875
Correct 25.59375
Abstained 25.65625
Correct 26.703125
Correct 26.15625
Abstained 23.65625
Wrong 27.390625
Correct 23.09375
Correct 26.859375
Wrong 22.015625
Wrong 29.078125
Correct 27.609375
Correct 25.328125
Correct 28.828125
Correct 26.796875
Correct 24.484375
Abstained 27.40625
Correct 25.59375
Correct 27.5625
Correct 26.28125
Wrong 22.328125
Abstained 27.421875
Correct 26.234375
Correct 25.21875
Correct 25.46875
Abstained 26.28125
Correct 26.5
Correct 25.234375
Abstained 26.75
Correct 23.6875
Correct 25.0625
Correct 27.5
Correct 29.640625
Correct 25.125
Correct 30.375
Wrong 22.21875
Abstained 23.4375
Correct 25.125
Correct 28.859375
Correct 28.9375
Correct 26.546875
Abstained 23.953125
Wrong 23.875
Correct 26.59375
Wrong 23.890625
Correct 22.59375
Abstained 26.828125
Correct 25.46875
Wrong 22.640625
Correct 26.546875
Correct 24.953125
Correct 30.015625
Correct 23.03125
Correct 28.3125
Correct 27.3125
Abstained 27.75
Correct 24.875
Correct 30.078125
Wrong 20.765625
Wrong 19.546875
Wrong 25.421875
Wrong 23.875
Wrong 20.765625
Wrong 27.703125
Wrong 27.515625
Correct 22.65625
Correct 25.890625
Abstained 24.8125
Correct 28.734375
Correct 29.703125
Correct 20.546875
Correct 22.46875
Correct 25.859375
Correct 25.984375
Correct 23.859375
Correct 29.6875
Correct 27.28125
Correct 26.875
Abstained 22.15625
Wrong 22.484375
Correct 24.984375
Abstained 25.03125
Correct 26.109375
Correct 24.921875
Wrong 27.5625
Wrong 26.078125
Correct 20.203125
Correct 26.78125
Correct 23.765625
Correct 22.609375
Abstained 21.96875
Correct 27.375
Abstained 27.125
Abstained 24.109375
Correct 28.96875
Wrong 24.84375
Abstained 21.609375
Correct 29.421875
Correct 23.953125
Correct 30.1875
Abstained 24.21875
Abstained 18.859375
Correct 26.96875
Wrong 29.421875
Wrong 29.65625
Wrong 29.3125
Correct 26.9375
Correct 29.046875
Correct 23.1875
Correct 25.828125
Correct 25.9375
Correct 27.5625
Abstained 26.71875
Abstained 23.546875
Wrong 24.84375
Wrong 19.3125
Wrong 21.8125
Correct 22.109375
Correct 30.265625
Abstained 27.78125
Correct 27.28125
Correct 26.984375
Correct 27.203125
Wrong 23.578125
Correct 22.6875
Correct 28.09375
Abstained 27.46875
Wrong 20.125
Wrong 18.765625
Wrong 27.515625
Correct 20.921875
Wrong 24.359375
Correct 25.0625
Abstained 21.328125
Correct 28.625
Correct 25.328125
Wrong 25.140625
Correct 25.296875
Correct 27.4375
Correct 25.515625
Correct 27.546875
Correct 23.171875
Abstained 23.1875
Correct 24.484375
Correct 28.59375
Correct 24.859375
Correct 26.03125
Correct 22.78125
Correct 23.890625
Wrong 19.34375
Correct 26.734375
Correct 23.015625
Abstained 27.984375
Correct 25.125
Correct 28.046875
Correct 24.953125
Correct 28.71875
Correct 23.6875
Correct 24.46875
Correct 23.5625
Correct 30.015625
Correct 28.734375
Correct 26.515625
Correct 24.5625
Correct 26.078125
Wrong 28.21875
Abstained 23.84375
Wrong 25.921875
Abstained 22.75
Abstained 27.171875
Abstained 25.8125
Correct 25.609375
Correct 28.796875
Correct 25.8125
Correct 25.078125
Correct 25.625
Correct 27.21875
Correct 24.5
Correct 21.6875
