grade confidence_level
Wrong 1.52734375
Wrong 1.3212890625
Wrong 1.5478515625
Wrong 1.6318359375
Wrong 2.28125
Correct 2.16015625
Wrong 1.4892578125
Wrong 2.201171875
Wrong 1.8681640625
Wrong 1.40234375
Wrong 3.111328125
Wrong 1.29296875
Wrong 1.5107421875
Wrong 1.6708984375
Wrong 1.9501953125
Wrong 1.4189453125
Wrong 2.03515625
Wrong 2.0546875
Wrong 1.80078125
Abstained 1.4990234375
Wrong 2.05859375
Correct 1.703125
Wrong 1.8720703125
Wrong 1.609375
Abstained 1.142578125
Wrong 1.6748046875
Wrong 1.1162109375
Wrong 1.4482421875
Wrong 1.595703125
Wrong 1.4462890625
Wrong 1.603515625
Wrong 1.0341796875
Abstained 1.822265625
Correct 1.9560546875
Wrong 1.740234375
Wrong 1.5322265625
Wrong 1.693359375
Wrong 2.439453125
Wrong 1.28515625
Wrong 1.265625
Correct 1.5556640625
Wrong 1.5615234375
Correct 1.357421875
Correct 2.861328125
Wrong 1.61328125
Wrong 1.4853515625
Correct 1.552734375
Wrong 2.404296875
Wrong 1.7763671875
Abstained 2.095703125
Correct 1.7646484375
Correct 1.7197265625
Wrong 1.1826171875
Correct 1.552734375
Wrong 2.685546875
Correct 0.8095703125
Correct 1.6181640625
Wrong 1.5361328125
Wrong 1.4560546875
Wrong 0.85546875
Abstained 1.708984375
Wrong 1.4033203125
Wrong 1.7939453125
Correct 1.3896484375
Wrong 1.3828125
Correct 2.78125
Wrong 1.36328125
Abstained 1.248046875
Wrong 1.9365234375
Wrong 1.9150390625
Wrong 1.634765625
Wrong 1.5205078125
Wrong 1.578125
Wrong 1.7373046875
Correct 2.91796875
Wrong 1.7568359375
Correct 1.8427734375
Wrong 1.6572265625
Wrong 1.1376953125
Wrong 0.9091796875
Wrong 1.8232421875
Wrong 2.05859375
Correct 1.4736328125
Wrong 2.283203125
Wrong 3.12890625
Correct 1.5703125
Correct 1.5751953125
Wrong 1.2861328125
Correct 1.6513671875
Abstained 1.2392578125
Wrong 2.65625
Wrong -0.70947265625
Wrong 1.5126953125
Correct 1.64453125
Correct 2.83984375
Wrong 1.9189453125
Wrong 1.9794921875
Wrong 2.875
Wrong 1.3134765625
Wrong 0.99658203125
Wrong 1.283203125
Correct 1.4794921875
Wrong 1.3837890625
Wrong 2.408203125
Wrong 1.541015625
Correct 1.35546875
Correct 1.9853515625
Wrong 1.7158203125
Wrong 2.8515625
Wrong 2.79296875
Wrong 1.2158203125
Wrong 2.361328125
Wrong 1.59375
Wrong 2.130859375
Wrong 2.12890625
Wrong 1.7880859375
Correct 1.2255859375
Abstained 2.865234375
Wrong 1.4501953125
Wrong 1.232421875
Wrong 1.392578125
Wrong 1.90234375
Wrong 0.970703125
Wrong 1.4697265625
Wrong 1.736328125
Correct 1.9677734375
Wrong 1.8623046875
Wrong 1.7978515625
Correct 1.08203125
Wrong 1.734375
Wrong 1.984375
Wrong 1.66796875
Wrong 1.65234375
Wrong 1.81640625
Wrong 2.009765625
Abstained 2.443359375
Wrong 1.90625
Wrong 2.060546875
Correct 1.740234375
Wrong 1.4228515625
Wrong 0.91357421875
Wrong 1.951171875
Wrong 1.662109375
Wrong 0.99755859375
Wrong 2.779296875
Correct 1.3837890625
Wrong 1.1875
Wrong 1.76171875
Wrong 1.3974609375
Wrong 1.2861328125
Wrong 1.373046875
Wrong 1.349609375
Wrong 1.7294921875
Correct 1.306640625
Wrong 1.5888671875
Correct 2.759765625
