grade confidence_level
Correct 22.984375
Correct 26.6875
Correct 20.859375
Correct 24.5
Wrong 23.484375
Correct 26.796875
Correct 24.09375
Wrong 26.234375
Correct 25.046875
Correct 27.84375
Wrong 22.21875
Correct 28.96875
Wrong 21.984375
Wrong 19.5
Correct 28.09375
Correct 29.359375
Correct 27.46875
Wrong 26.125
Wrong 27.796875
Wrong 27.71875
Correct 20.03125
Correct 27.96875
Correct 29.21875
Unparseable 0
Correct 27.515625
Correct 26.53125
Correct 26.8125
Correct 29.3125
Wrong 22.859375
Correct 22.6875
Wrong 28.875
Correct 27.140625
Correct 21.796875
Correct 24.828125
Correct 23.90625
Correct 28.6875
Correct 19.859375
Wrong 24.6875
Correct 19.703125
Correct 22.75
Wrong 23.9375
Correct 23.015625
Correct 26.3125
Correct 27.953125
Wrong 23.203125
Correct 26.75
Correct 26.515625
Abstained 20.921875
Correct 21.28125
Correct 21.859375
Correct 25.71875
Correct 22.0625
Correct 25.78125
Correct 26.765625
Correct 29.703125
Correct 28.46875
Wrong 25.3125
Wrong 19.15625
Correct 25.484375
Correct 26.1875
Correct 27.984375
Wrong 22.953125
Correct 21.640625
Wrong 23.421875
Wrong 22.3125
Wrong 25.390625
Correct 29.796875
Correct 28.28125
Correct 27.65625
Correct 16.921875
Correct 28.1875
Abstained 20.09375
Correct 27.75
Abstained 23.984375
Correct 25.09375
Correct 28.796875
Wrong 24.21875
Wrong 28.328125
Correct 27.40625
Correct 23.75
Wrong 27.046875
Correct 27.1875
Correct 26.21875
Correct 30.296875
Correct 27.765625
Correct 25.859375
Correct 27.046875
Correct 24.5625
Correct 19.203125
Correct 25.046875
Wrong 18.5
Correct 23.34375
Correct 24.359375
Wrong 27.9375
Correct 27.25
Correct 26.375
Correct 20.328125
Correct 28.75
Correct 25.5
Correct 26.546875
Correct 22.4375
Correct 27.8125
Correct 26.484375
Correct 27.296875
Correct 26.53125
Correct 27.21875
Correct 29.546875
Wrong 19.484375
Wrong 23.3125
Correct 28.265625
Wrong 23.9375
Wrong 18.109375
Correct 24.46875
Wrong 23.09375
Correct 29.21875
Correct 27.625
Correct 22.9375
Correct 18.078125
Correct 24.5625
Correct 25.5625
Correct 25.78125
Correct 20.234375
Wrong 22.28125
Wrong 19.875
Correct 18.046875
Correct 29.359375
Correct 29.0625
Correct 26.328125
Correct 25.46875
Correct 17.09375
Wrong 21.046875
Correct 27.609375
Wrong 28.53125
Correct 27.984375
Correct 24.46875
Wrong 28.296875
Wrong 28.671875
Correct 25.984375
Correct 25.65625
Correct 25.59375
Wrong 29.75
Correct 21.484375
Abstained 19.59375
Correct 23.96875
Correct 28.875
Wrong 18.9375
Correct 29.890625
Wrong 24.875
Correct 23.265625
Correct 28.0
Correct 27.609375
Correct 26.40625
Wrong 24.375
Wrong 22.890625
Correct 28.96875
Correct 24.765625
Correct 27.6875
Correct 26.390625
Correct 26.359375
Wrong 24.0625
Correct 25.765625
Correct 27.53125
Wrong 28.796875
Correct 23.9375
Correct 29.09375
Correct 25.953125
Correct 28.796875
Correct 28.390625
Correct 26.6875
Correct 26.328125
Wrong 21.0625
Correct 28.78125
Correct 21.765625
Correct 27.5
Correct 27.90625
Correct 27.390625
Correct 23.140625
Wrong 22.65625
Wrong 18.484375
Correct 24.234375
Correct 23.125
Correct 28.640625
Correct 26.53125
Correct 18.90625
Wrong 22.484375
Wrong 26.390625
Correct 26.03125
Correct 30.15625
Correct 23.46875
Wrong 23.171875
Wrong 28.4375
Wrong 24.125
Correct 17.734375
Correct 25.390625
Correct 17.828125
