grade confidence_level
Wrong 21.375
Wrong 22.53125
Unparseable 0
Correct 25.5
Wrong 26.375
Wrong 25.71875
Wrong 19.875
Correct 23.1875
Wrong 23.5625
Wrong 23.21875
Correct 28.15625
Wrong 26.59375
Correct 19.625
Correct 26.328125
Correct 20.359375
Wrong 26.875
Wrong 23.609375
Wrong 25.09375
Wrong 24.3125
Wrong 27.53125
Correct 28.40625
Wrong 23.84375
Correct 26.359375
Wrong 23.265625
Wrong 26.671875
Correct 24.0625
Wrong 21.984375
Correct 24.84375
Correct 23.03125
Correct 27.828125
Correct 23.28125
Wrong 20.78125
Correct 26.71875
Correct 25.109375
Correct 25.625
Wrong 24.953125
Wrong 24.75
Correct 25.8125
Wrong 26.953125
Correct 25.765625
Wrong 27.40625
Wrong 26.828125
Wrong 24.265625
Correct 18.671875
Correct 23.15625
Wrong 25.265625
Correct 26.359375
Wrong 25.9375
Correct 23.71875
Correct 27.796875
Wrong 27.46875
Wrong 24.09375
Wrong 24.9375
Wrong 22.625
Wrong 22.71875
Correct 21.203125
Correct 23.65625
Correct 28.578125
Correct 27.265625
Correct 26.09375
Correct 23.453125
Correct 23.84375
Wrong 30.625
Wrong 22.0
Correct 25.140625
Correct 26.90625
Wrong 23.75
Correct 24.765625
Correct 22.078125
Wrong 28.90625
Correct 23.34375
Wrong 16.40625
Wrong 22.703125
Wrong 23.25
Correct 29.453125
Correct 27.203125
Wrong 25.296875
Correct 25.578125
Correct 27.375
Wrong 18.328125
Wrong 26.296875
Correct 29.578125
Wrong 25.859375
Correct 23.578125
Wrong 25.0625
Correct 24.25
Correct 23.578125
Correct 26.875
Wrong 25.328125
Wrong 21.578125
Correct 29.65625
Correct 25.8125
Wrong 22.875
Correct 24.84375
Wrong 28.609375
Wrong 26.75
Correct 30.234375
Wrong 26.578125
Wrong 25.015625
Correct 26.609375
Wrong 22.0
Correct 23.15625
Wrong 27.859375
Wrong 27.15625
Correct 22.96875
Wrong 22.03125
Correct 24.78125
Correct 23.390625
Wrong 26.984375
Correct 25.296875
Wrong 21.03125
Correct 27.84375
Correct 24.28125
Correct 27.640625
Correct 24.390625
Wrong 22.875
Wrong 28.046875
Wrong 24.5625
Correct 29.671875
Correct 24.296875
Wrong 26.9375
Wrong 17.859375
Correct 29.828125
Correct 23.203125
Correct 23.875
Correct 24.875
Wrong 23.671875
Correct 25.1875
Correct 27.296875
Wrong 21.765625
Wrong 23.921875
Correct 29.0
Wrong 23.671875
Wrong 21.46875
Correct 26.828125
Wrong 21.796875
Wrong 22.09375
Correct 24.71875
Wrong 21.546875
Correct 24.484375
Correct 27.59375
Wrong 26.671875
Wrong 22.203125
Correct 22.9375
Wrong 27.9375
Correct 24.5
Wrong 27.515625
Correct 22.046875
Wrong 23.234375
Correct 27.4375
Wrong 25.140625
Wrong 24.046875
