grade confidence_level
Wrong 21.125
Correct 22.34375
Wrong 21.8125
Wrong 19.390625
Wrong 21.09375
Wrong 22.28125
Wrong 23.15625
Unparseable 0
Wrong 23.203125
Wrong 21.265625
Wrong 25.015625
Wrong 20.796875
Wrong 22.671875
Wrong 21.125
Correct 29.046875
Wrong 19.546875
Wrong 25.25
Wrong 25.609375
Correct 20.96875
Wrong 23.765625
Unparseable 0
Wrong 26.25
Wrong 16.40625
Correct 24.0625
Wrong 21.125
Wrong 20.828125
Wrong 22.078125
Wrong 23.6875
Wrong 26.53125
Wrong 23.984375
Wrong 22.140625
Correct 21.25
Wrong 24.859375
Wrong 22.171875
Wrong 25.921875
Wrong 22.078125
Wrong 23.75
Wrong 27.1875
Correct 20.34375
Correct 19.9375
Wrong 19.453125
Wrong 21.359375
Correct 31.59375
Wrong 20.859375
Correct 25.921875
Wrong 23.28125
Wrong 27.140625
Correct 23.09375
Wrong 22.765625
Wrong 26.984375
Wrong 20.9375
Wrong 23.578125
Wrong 20.390625
Wrong 20.71875
Unparseable 0
Wrong 25.359375
Correct 26.8125
Wrong 24.46875
Wrong 26.546875
Wrong 21.609375
Wrong 24.125
Wrong 24.671875
Wrong 18.234375
Wrong 24.875
Wrong 23.296875
Wrong 25.921875
Wrong 23.5625
Correct 25.640625
Wrong 22.875
Wrong 26.109375
Wrong 25.578125
Correct 23.578125
Correct 25.921875
Wrong 24.53125
Wrong 25.328125
Wrong 22.96875
Wrong 23.109375
Wrong 23.125
Correct 23.375
Wrong 24.078125
Wrong 23.421875
Correct 22.4375
Wrong 25.046875
Wrong 19.734375
Correct 21.828125
Correct 28.265625
Wrong 21.984375
Wrong 21.921875
Wrong 23.125
Correct 19.125
Unparseable 0
Wrong 24.5625
Correct 21.125
Wrong 24.125
Correct 24.75
Wrong 21.234375
Wrong 24.65625
Correct 22.078125
Wrong 25.59375
Wrong 24.953125
Wrong 25.921875
Wrong 19.328125
Wrong 26.09375
Wrong 23.265625
Wrong 25.5625
Wrong 23.6875
Wrong 20.875
Correct 25.890625
Correct 25.640625
Wrong 26.109375
Wrong 22.3125
Wrong 22.3125
Wrong 23.34375
Wrong 26.21875
Wrong 21.09375
Wrong 20.171875
Correct 25.21875
Correct 21.6875
Wrong 26.1875
Correct 22.984375
Wrong 21.5625
Wrong 20.296875
Wrong 24.203125
Wrong 19.390625
Wrong 24.875
Wrong 24.015625
Wrong 23.09375
Correct 21.625
Wrong 21.484375
Correct 24.9375
Wrong 22.21875
Wrong 23.625
Wrong 18.234375
Unparseable 0
Wrong 23.59375
Wrong 20.0625
Wrong 23.640625
Wrong 23.03125
Wrong 23.453125
Wrong 23.96875
Wrong 20.5
Correct 22.25
Wrong 25.9375
Wrong 25.0625
Wrong 22.0625
Correct 18.53125
Wrong 22.921875
Wrong 23.140625
Correct 21.953125
Correct 25.8125
Wrong 25.9375
Wrong 20.359375
Wrong 23.09375
Wrong 22.53125
Correct 19.359375
Wrong 22.609375
Correct 23.078125
Wrong 23.8125
Wrong 22.703125
Correct 24.234375
Correct 18.453125
Wrong 26.609375
Correct 20.28125
Wrong 26.0625
Unparseable 0
Unparseable 0
Wrong 21.796875
Wrong 25.25
Wrong 23.4375
Correct 21.828125
Wrong 25.390625
Wrong 24.71875
Wrong 24.859375
Unparseable 0
Wrong 24.546875
Wrong 22.5
Wrong 23.640625
Correct 23.53125
Wrong 22.734375
Wrong 23.96875
Unparseable 0
Correct 24.875
Correct 26.421875
Correct 21.609375
Wrong 24.421875
Wrong 21.390625
Wrong 25.578125
Wrong 24.125
Correct 25.34375
Wrong 25.3125
Correct 22.875
Correct 21.625
Wrong 21.0
Wrong 24.921875
Correct 23.4375
Wrong 20.59375
Correct 23.46875
Wrong 23.625
Wrong 20.890625
Correct 25.484375
Wrong 24.671875
Wrong 25.484375
Correct 26.359375
Wrong 23.671875
Wrong 22.46875
Wrong 24.53125
Wrong 24.359375
Wrong 21.109375
Wrong 22.328125
Wrong 22.140625
Wrong 23.71875
Correct 22.53125
Wrong 27.359375
Wrong 18.53125
Wrong 19.640625
Wrong 23.78125
Correct 21.578125
