grade confidence_level
Wrong 0.9404597878456116
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.4498130977153778
Unparseable 0
Unparseable 0
Wrong 0.3931056559085846
Unparseable 0
Wrong 0.38599860668182373
Unparseable 0
Wrong 0.7764802575111389
Wrong 0.9652010202407837
Unparseable 0
Unparseable 0
Wrong 0.6138152480125427
Correct 0.9999969005584717
Unparseable 0
Unparseable 0
Correct 0.9485586881637573
Wrong 0.998381495475769
Correct 0.49846839904785156
Correct 0.999994695186615
Unparseable 0
Wrong 0.5580394268035889
Wrong 0.9893078804016113
Wrong 0.4277336597442627
Wrong 0.31188201904296875
Wrong 0.8022235035896301
Correct 0.608454167842865
Unparseable 0
Unparseable 0
Wrong 0.3056757152080536
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.5012642741203308
Wrong 0.8496254086494446
Wrong 0.9428651928901672
Correct 0.9119460582733154
Wrong 0.9999721050262451
Wrong 0.8503910899162292
Unparseable 0
Correct 0.9015889167785645
Wrong 0.6205198168754578
Wrong 0.9760203957557678
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.7338393330574036
Unparseable 0
Wrong 0.36031797528266907
Unparseable 0
Wrong 0.9999794960021973
Wrong 0.4359982907772064
Unparseable 0
Wrong 0.5169174075126648
Correct 0.575072705745697
Wrong 0.9999563097953796
Unparseable 0
Wrong 0.34611251950263977
Unparseable 0
Wrong 0.9287448525428772
Unparseable 0
Unparseable 0
Wrong 0.4499833881855011
Correct 0.4876036047935486
Unparseable 0
Wrong 0.3880527913570404
Wrong 0.9770299792289734
Wrong 0.6575121879577637
Correct 0.6856768727302551
Unparseable 0
Correct 0.6953054666519165
Wrong 0.8093250393867493
Wrong 0.9627827405929565
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Unparseable 0
Wrong 0.6235378980636597
Unparseable 0
Unparseable 0
Wrong 0.9999085068702698
Correct 0.40184083580970764
Unparseable 0
Wrong 0.9995095133781433
Wrong 0.9513553977012634
Wrong 0.4294321835041046
Wrong 0.9249769449234009
Unparseable 0
Correct 0.8973363637924194
Correct 0.5315088033676147
Wrong 0.6876937747001648
Unparseable 0
Unparseable 0
Wrong 0.9633129239082336
Unparseable 0
Correct 0.6627907156944275
Unparseable 0
Correct 0.9875404238700867
Unparseable 0
Wrong 0.46922188997268677
Unparseable 0
Wrong 0.8054949045181274
Wrong 0.6506693959236145
Unparseable 0
Wrong 0.9057841897010803
Wrong 0.9784825444221497
